Contour                                                   ,Clip                           ,SNR_Vertical ,SNR_Horizontal
pc_20170728_031259_ch05_sel02_setteac101_hawaii_ROCCA.csv ,20170728_031259_ch05_sel02.wav ,2.4732       ,3.4148
pc_20170728_031659_sel_01_Sette_AC_101_Hawaii.csv         ,20170728_031659_sel_01.wav     ,3.8309       ,4.5389
pc_20170728_031659_sel_02_Sette_AC_101_Hawaii.csv         ,20170728_031659_sel_02.wav     ,2.4911       ,3.6273
pc_20170728_031859_sel_03_Sette_AC_101_Hawaii.csv         ,20170728_031859_sel_03.wav     ,4.1875       ,7.2122
pc_20170728_031959_sel_01_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_01.wav     ,1.2043       ,8.598
pc_20170728_031959_sel_02_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_02.wav     ,2.1267       ,8.5222
pc_20170728_031959_sel_03_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_03.wav     ,5.1737       ,6.2437
pc_20170728_031959_sel_04_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_04.wav     ,3.6172       ,7.2066
pc_20170728_031959_sel_06_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_06.wav     ,2.9032       ,5.9743
pc_20170728_031959_sel_07_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_07.wav     ,12.1356      ,10.6695
pc_20170728_031959_sel_08_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_08.wav     ,1.8584       ,7.1938
pc_20170728_031959_sel_09_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_09.wav     ,1.4831       ,8.9918
pc_20170728_031959_sel_10_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_10.wav     ,0.9742       ,5.5661
pc_20170728_031959_sel_11_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_11.wav     ,2.5146       ,13.0584
pc_20170728_031959_sel_12_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_12.wav     ,1.5909       ,9.1037
pc_20170728_031959_sel_13_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_13.wav     ,2.1811       ,7.1491
pc_20170728_031959_sel_14_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_14.wav     ,1.9896       ,7.7073
pc_20170728_031959_sel_15_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_15.wav     ,1.6474       ,11.3578
pc_20170728_031959_sel_16_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_16.wav     ,2.9186       ,5.1447
pc_20170728_031959_sel_17_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_17.wav     ,1.6678       ,9.2014
pc_20170728_031959_sel_18_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_18.wav     ,3.1676       ,10.1516
pc_20170728_031959_sel_19_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_19.wav     ,5.425        ,11.4226
pc_20170728_031959_sel_20_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_20.wav     ,3.7231       ,8.9141
pc_20170728_031959_sel_21_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_21.wav     ,1.5617       ,9.8951
pc_20170728_031959_sel_23_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_23.wav     ,1.4683       ,10.4558
pc_20170728_031959_sel_26_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_26.wav     ,2.512        ,7.6448
pc_20170728_031959_sel_28_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_28.wav     ,1.5118       ,9.7468
pc_20170728_031959_sel_29_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_29.wav     ,1.4065       ,7.4334
pc_20170728_031959_sel_31_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_31.wav     ,0.94214      ,12.3109
pc_20170728_031959_sel_32_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_32.wav     ,2.0976       ,8.5499
pc_20170728_031959_sel_33_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_33.wav     ,2.7267       ,8.8841
pc_20170728_031959_sel_34_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_34.wav     ,5.0645       ,15.0413
