Contour                                                   ,Clip                           ,SNR_Vertical ,SNR_Horizontal
pc_20170728_031259_ch05_sel02_setteac101_hawaii_ROCCA.csv ,20170728_031259_ch05_sel02.wav ,2.8094       ,3.4148
pc_20170728_031659_sel_01_Sette_AC_101_Hawaii.csv         ,20170728_031659_sel_01.wav     ,4.1203       ,4.5389
pc_20170728_031659_sel_02_Sette_AC_101_Hawaii.csv         ,20170728_031659_sel_02.wav     ,2.8068       ,3.6273
pc_20170728_031859_sel_03_Sette_AC_101_Hawaii.csv         ,20170728_031859_sel_03.wav     ,5.9368       ,7.2122
pc_20170728_031959_sel_01_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_01.wav     ,1.6129       ,8.598
pc_20170728_031959_sel_02_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_02.wav     ,2.5075       ,8.5222
pc_20170728_031959_sel_03_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_03.wav     ,9.0219       ,6.2437
pc_20170728_031959_sel_04_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_04.wav     ,5.5741       ,7.2066
pc_20170728_031959_sel_06_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_06.wav     ,4.0737       ,5.9743
pc_20170728_031959_sel_07_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_07.wav     ,12.8449      ,10.6695
pc_20170728_031959_sel_08_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_08.wav     ,4.4341       ,7.1938
pc_20170728_031959_sel_09_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_09.wav     ,1.3442       ,8.9918
pc_20170728_031959_sel_10_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_10.wav     ,2.6288       ,5.5661
pc_20170728_031959_sel_11_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_11.wav     ,2.2945       ,13.0584
pc_20170728_031959_sel_12_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_12.wav     ,6.0838       ,9.1037
pc_20170728_031959_sel_13_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_13.wav     ,3.0365       ,7.1491
pc_20170728_031959_sel_14_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_14.wav     ,5.985        ,7.7073
pc_20170728_031959_sel_15_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_15.wav     ,2.2292       ,11.3578
pc_20170728_031959_sel_16_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_16.wav     ,3.7304       ,5.1447
pc_20170728_031959_sel_17_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_17.wav     ,3.7284       ,9.2014
pc_20170728_031959_sel_18_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_18.wav     ,5.5869       ,10.1516
pc_20170728_031959_sel_19_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_19.wav     ,8.0602       ,11.4226
pc_20170728_031959_sel_20_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_20.wav     ,6.8305       ,8.9141
pc_20170728_031959_sel_21_Sette_AC_101_Hawaii.csv         ,20170728_031959_sel_21.wav     ,5.9035       ,9.8951
